Start performance test

Loop: 27 			 Variation: 0 			 Cycles: 28000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.807587 ms
Loop: 27 			 Variation: 1 			 Cycles: 28000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.523238 ms
Loop: 27 			 Variation: 2 			 Cycles: 28000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.580508 ms
Loop: 28 			 Variation: 0 			 Cycles: 29000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.126471 ms
Loop: 28 			 Variation: 1 			 Cycles: 29000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.573312 ms
Loop: 28 			 Variation: 2 			 Cycles: 29000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.636547 ms
Loop: 29 			 Variation: 0 			 Cycles: 30000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.688410 ms
Loop: 29 			 Variation: 1 			 Cycles: 30000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.694106 ms
Loop: 29 			 Variation: 2 			 Cycles: 30000 			 Cache: 1 			  MethodCache: 1 			 Duration: 1.153872 ms
Loop: 30 			 Variation: 0 			 Cycles: 31000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.884940 ms
Loop: 30 			 Variation: 1 			 Cycles: 31000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.708558 ms
Loop: 30 			 Variation: 2 			 Cycles: 31000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.564734 ms
Loop: 31 			 Variation: 0 			 Cycles: 32000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.264876 ms
Loop: 31 			 Variation: 1 			 Cycles: 32000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.570002 ms
Loop: 31 			 Variation: 2 			 Cycles: 32000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.536364 ms
Loop: 32 			 Variation: 0 			 Cycles: 33000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.024863 ms
Loop: 32 			 Variation: 1 			 Cycles: 33000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.654036 ms
Loop: 32 			 Variation: 2 			 Cycles: 33000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.698150 ms
Loop: 33 			 Variation: 0 			 Cycles: 34000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.101587 ms
Loop: 33 			 Variation: 1 			 Cycles: 34000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.698727 ms
Loop: 33 			 Variation: 2 			 Cycles: 34000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.706099 ms
Loop: 34 			 Variation: 0 			 Cycles: 35000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.993819 ms
Loop: 34 			 Variation: 1 			 Cycles: 35000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.587003 ms
Loop: 34 			 Variation: 2 			 Cycles: 35000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.579630 ms
Loop: 35 			 Variation: 0 			 Cycles: 36000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.092663 ms
Loop: 35 			 Variation: 1 			 Cycles: 36000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.597564 ms
Loop: 35 			 Variation: 2 			 Cycles: 36000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.711591 ms
Loop: 36 			 Variation: 0 			 Cycles: 37000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.953516 ms
Loop: 36 			 Variation: 1 			 Cycles: 37000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.615557 ms
Loop: 36 			 Variation: 2 			 Cycles: 37000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.644073 ms
Loop: 37 			 Variation: 0 			 Cycles: 38000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.074617 ms
Loop: 37 			 Variation: 1 			 Cycles: 38000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.616399 ms
Loop: 37 			 Variation: 2 			 Cycles: 38000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.626149 ms
Loop: 38 			 Variation: 0 			 Cycles: 39000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.974866 ms
Loop: 38 			 Variation: 1 			 Cycles: 39000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.634922 ms
Loop: 38 			 Variation: 2 			 Cycles: 39000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.627117 ms
Loop: 39 			 Variation: 0 			 Cycles: 40000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.006511 ms
Loop: 39 			 Variation: 1 			 Cycles: 40000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.742558 ms
Loop: 39 			 Variation: 2 			 Cycles: 40000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.677483 ms
Loop: 40 			 Variation: 0 			 Cycles: 41000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.030638 ms
Loop: 40 			 Variation: 1 			 Cycles: 41000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.648613 ms
Loop: 40 			 Variation: 2 			 Cycles: 41000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.643315 ms
Loop: 41 			 Variation: 0 			 Cycles: 42000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.027548 ms
Loop: 41 			 Variation: 1 			 Cycles: 42000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.843619 ms
Loop: 41 			 Variation: 2 			 Cycles: 42000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.654302 ms
